Constantin Chiriţă,,,,,,,,,,,,,,
"Victor era treaz. Nici o imagine nouă, nici o amintire veche nu-l subjuga şi nu-i fura clipele. Vedea totul, până în detalii de aţă şi sorbea totul şi întuneca totul ca nişte imagini pe un film care se va developa cândva. Barca era bună şi apa era încă bună, dar până când oare? Curentul şi râul îi duceau oare spre lume, spre lumină, spre clipe paşnice cu soare şi umbră, cu glumele lui Dan şi acrobaţiile lui Ursu, spre o noapte cu gângănii şi foşnete şi cu stele deasupra capului şi cu siguranţa aceea caldă că în zori, sau mai târziu, când ochii se vor deschide leneşi, pleoapele se vor speria de lumină şi iarăşi se vor închide pentru acea clipă lungă în care se scutură visele şi ultimele pânze negre ale somnului?… Oare unde-i ducea calea de apă şi de întuneric? Victor era asuprit de întrebări care se încrucişau violent şi-l fulgerau de multe ori cu spaime şi dureri. Poate că Ionel avusese dreptate când se opusese continuării călătoriei?… Ce s-ar fi întâmplat dacă nu ar fi dat peste barca de cauciuc şi dacă Tic n-ar fi încăput pe cărarea iadului?… Şi iarăşi: oare unde ducea calea de apă?… Peştera fusese locuită: incrustaţiile şi uneltele erau dovezi de netăgăduit. Calea de ieşire şi de intrare a peşterii locuite nu era înapoi, spre catedrala de marmură, ci înainte pe drumul pe care pluteau ei. Nu era o dorinţă sau o speranţă gândul acesta, ci o certitudine. Grota locuită nu putea să aibă o altă ieşire spre lume. Calea era bună… Gândea Victor cu spaimă… Dar până când? De ce nu fusese descoperită până acum peştera?… Sau ieşirea ei era atât de bine ascunsă încât nimeni n-o bănuia în cine ştie ce crăpătură astupată de tufe şi bolovani… Sau calcarul se răzvrătise şi, cândva, în negura timpurilor, prăvălise asupra ei lespezi gigantice de mormânt. Dacă peştera, altădată locuită, era închisă? Dacă prăbuşirile rocilor calcaroase transformaseră, undeva, înainte, calea de apă într-o cascadă? Victor nu vedea, nu voia să vadă, podoabele şi tainele de marmură şi calcar, nu auzea, nu voia să audă, melodiile şi ecourile catedralelor şi castelelor şi grădinilor împietrite. Îşi păstra simţurile treze, crude, gata să dea alarma, pentru a nu se lăsa furat de acel „prea târziu” care poate că-i pândea şi-i aştepta undeva în beznă. Speranţa era ca o ancoră dureroasă şi Victor nu voia s-o arunce, o păstra pentru clipa cea mare, pentru ţărmul solid, primitor","şi sincer, pentru ţărmul cu soare.",,,,,,,,,,,,,
"Gândurile tuturor se întrerupseră subit şi brutal şi parcă mii de cârlige li se înfipseseră în spate. Pentru că în spatele lor răsunase zgomotul unei explozii cumplite, care umpluse cu nesfârşite ecouri bolnave bezna peşterii. Victor îşi transformă vâsla în cârmă şi lipi barca de mal. Sări primul pe stâncă şi după el ceilalţi. Capătul de funie cu care legase barca se afla în mâna lui. Stăteau toţi nemişcaţi, tăcuţi, cu auzul încordat. Dar nici o altă bubuitură nu mai tulbură liniştea grotei, iar ecourile vechi se topiseră, toate, în beznă.",,,,,,,,,,,,,,
"— Oare ce s-a întâmplat? Întrebă Maria. S-a prăbuşit vreo stâncă, s-a sfărâmat ceva?",,,,,,,,,,,,,,
— Parcă a fost o explozie… Gândi Victor cu voce sonoră. Mai tare decât o prăbuşire.,,,,,,,,,,,,,,
— Explozie! Se miră Maria. Cine s-o facă? Unde? Şi pentru ce? O explozie în peştera noastră?,,,,,,,,,,,,,,
"— Într-adevăr… Recunoscu Victor. Nici eu nu înţeleg cum s-ar fi putut produce o explozie. Dar dacă a fost zgomotul unei prăbuşiri, atunci undeva în munte s-a întâmplat o adevărată catastrofă.",,,,,,,,,,,,,,
— Catedrala! Se înfioră Tic. Bolţile şi orga…,,,,,,,,,,,,,,
"— Poate că nu… se rugă Maria. Lacul meu cel albastru, îşi aminti ea clipa neaşteptatei destăinuiri.",,,,,,,,,,,,,,
Ionel se hotărî să iasă din mutismul lui:,,,,,,,,,,,,,,
— Orice zgomot este amplificat la maximum de vibraţii şi ecouri… În orice peşteră…,,,,,,,,,,,,,,
"— E adevărat, spuse Victor. Dar a fost un altfel de zgomot. Un zgomot rotund, greu… Parcă-mi amintesc nucleul lui, clipa lui fără ecouri. Nu pot să-l redau decât printr-o comparaţie, aşa l-am şi simţit: mi-a părut ca bubuitura unui tun faţă de un pocnet de puşcă.",,,,,,,,,,,,,,
"— Nu ştiu… se retrase Ionel. Poate că ai dreptate. Ce-o fi fost o fi fost. Sigur e un singur lucru: prăbuşirea sau explozia, adică zgomotul, a izbucnit aici în peşteră… Afară în nici un caz. Şi acum mă dor urechile.",,,,,,,,,,,,,,
"— Asta e! Se înfurie Victor. S-a întâmplat ceva în peşteră. O explozie, o prăbuşire catastrofală? Nu ştim. Şi mai ales nu ştim în ce măsură ne priveşte pe noi zgomotul, fir-ar să fie de zgomot!",,,,,,,,,,,,,,
"— Poate că nu ne priveşte deloc, spuse Maria. Mai ales dacă s-a petrecut vreo prăbuşire în masa calcarelor, cum vă place vouă să spuneţi…",,,,,,,,,,,,,,
— Chiar dacă e o catastrofă? Întrebă Ionel.,,,,,,,,,,,,,,
— Ei şi? Întrebă la rândul ei Maria. Să zicem că a fost o catastrofă. Ce ne priveşte pe noi?,,,,,,,,,,,,,,
"Ionel tăcu. Simţi broboane de sudoare pe frunte şi arsuri sub ochi. Îi era teamă că spusele lui vor fi interpretate altfel, ca o răzbunare sau ca un ţipăt de cucuvea. Dar Victor îi simţi reţinerea:",,,,,,,,,,,,,,
"— Ionel vrea să spună, că o prăbuşire catastrofală… Nu-i aşa, Ionel?… Ar fi ca o lespede pe un mormânt… În cazul când calea pe care mergem acum e închisă… Dacă râul nu ne scoate la lumină, în cel mai rău caz ne-am putea întoarce pe drumul pe care am venit. Dar o prăbuşire catastrofală ar putea să ne închidă calea de întoarcere pentru totdeauna…",,,,,,,,,,,,,,
— Aha! Înţelese Maria. Tot cu gândul la mormânt şi pe deasupra îmi mai ucizi şi amintirile… Atunci… Mai bine să fi fost o explozie…,,,,,,,,,,,,,,
"— Ar fi la fel de grav, spuse Victor. Dacă nu şi mai grav… Da! Asta e nenorocirea: că şi una şi alta s-au petrecut în peşteră.",,,,,,,,,,,,,,
"— Şi eu, îngână Tic, parcă simt cum mă frige ceva în spate. Până acum îmi era frică numai de ce-ar putea să fie înaintea noastră, zău…",,,,,,,,,,,,,,
"Vorbind astfel, fără să vrea, Tic îi uşurase pe toţi ceilalţi de povara unor vorbe şi gânduri grele. Toţi simţeau cum cresc nişte gheare în spatele lor. Iar înainte: oare ce era înaintea lor? Ce li se pregătea?… Maria încă mai avea speranţa catedralei cu apă albastră:",,,,,,,,,,,,,,
— Şi dacă a fost o explozie? De ce e mai rău?,,,,,,,,,,,,,,
"— Pentru că a fost făcută de nişte oameni, răspunse Victor, şi oamenii nu fac exploziile fără scop… Şi nu văd ce scop ar putea să aibă acum o explozie în peşteră. Adică nu pot să-i găsesc un scop bun…",,,,,,,,,,,,,,
— Şi unul rău poţi să-i găseşti? Îl iscodi Maria.,,,,,,,,,,,,,,
— În orice caz e mult mai uşor de găsit… Chiar dacă ne-am gândi că un singur om ar fi putut să provoace explozia… Dar eu zic că ar fi mai bine să luăm o hotărâre…,,,,,,,,,,,,,,
"— Eu aş vrea totuşi să mă lămuresc, se încăpăţână Maria. De ce te opreşti la jumătatea gândului?",,,,,,,,,,,,,,
Şi iarăşi se auzi vocea salvatoare a lui Tic:,,,,,,,,,,,,,,
— Ne oprim aici? Poposim aici?,,,,,,,,,,,,,,
"Maria parcă uitase întrebarea la care nu i se răspunse sau poate întârzia voluntar răspunsul. Îşi plimbă raza lanternei prin tunelul sărac, cu maluri strimte, fără nici o podoabă, fără coturi, fără firide. Părea nemulţumită:",,,,,,,,,,,,,,
"— Poate găsim alt loc de popas mai bun, adică mai frumos… Sau nu mai am voie să mă gândesc la frumos?",,,,,,,,,,,,,,
Ionel simţi că întrebarea i se adresase lui:,,,,,,,,,,,,,,
"— Nu m-am gândit la mormânt atunci când m-a speriat catastrofa. M-am gândit, pe cuvântul meu, la ceva frumos. Gata!",,,,,,,,,,,,,,
"Nimeni nu mai spuse nimic. Se îmbarcară la repezeală, lăsând iarăşi corabia în voia curentului. Înaintau destul de iute, cu vâsla lui Victor drept cârmă. Trecură printr-un ghiol în care se văzură nevoiţi să strunească viclenia curenţilor, apoi regăsiră tunelul, adică pârâiaşul bun, numai că devenise foarte capricios după întâlnirea lui cu ghiolul: malurile i se îngustaseră şi mai rău, pereţii erau borteliţi de tot felul de scobituri şi firide, şi mai ales făcea tot felul de coturi, la dreapta, la stânga, nu se mai împăca deloc cu linia dreaptă.",,,,,,,,,,,,,,
"„Aici trebuie să fie din belşug roci granitice”, gândi Ionel, dar hotărâse să nu-şi mai rostească gândurile cu glas tare, mai ales că nici nu interesa pe nimeni în acel moment granitul lui nenorocit.",,,,,,,,,,,,,,
"Undeva, după un cot, în apropierea unei stalagmite retezată parcă de o lovitură de spadă, pe o întindere de piatră care putea oferi adăpost, barca se opri pentru un popas mai îndelungat. De multă vreme nu mâncaseră şi, mai ales, simţeau nevoia să se lungească undeva, chiar şi pe piatră, să-şi odihnească trupurile obosite, să-şi odihnească pleoapele, să uite măcar pentru o clipă spaimele şi neliniştile, durerile, bezna, chiar şi speranţele. Atâta sete de lumină era în ei… Şi îşi doreau vise să le amintească, care să-i înveţe iarăşi cu lumina.",,,,,,,,,,,,,,
"Departe, în peşteră, prin cotloane prin care trecuse de multă vreme barca de cauciuc, două fiinţe nevăzute păşeau după lumina unei lanterne. Nu se vedea nimic altceva decât o fâşie de lumină străpungând bezna. Mergeau anevoie pe maluri dezordonate, printre gropi şi bolovani, ferindu-se de alunecări şi de izbituri. Nu era mers, ci echilibristică înaintarea lor prin văgăună. Până ce unul dintre indivizi, ferindu-se de un bolovan se prăvăli în apă. Pârâiaşul era lat şi iute şi, privit de pe margine, părea foarte adânc. Dar prăbuşindu-se în apă, vânătorul descoperi că adâncimea ei nu trece de genunchi, ba pe margine abia ajunge până la glezne. Înaintarea lor deveni mai rapidă. Bezna era străpunsă de două fâşii luminoase, uneori apropiate, alteori îndepărtate, uneori paralele, alteori una după alta.",,,,,,,,,,,,,,
"Fiecare era apăsat de emoţii şi gânduri felurite, dar era ceva care-i asemăna pe amândoi: ura. Amândoi urau şi amândoi se urau. Mergeau prin beznă şi apă, ca nişte jivine izgonite din urmă. De ce?… Se poticneau şi cădeau, stropii săraţi le aţâţau durerile de pe faţă, bolovani vicleni le pândeau picioarele, colţuri şi ieşituri ascuţite îi împungeau în drumul lor bezmetic. De ce?… Poate pentru că erau împreună, şi ura creştea în ei o dată cu frica unuia faţă de celălalt.",,,,,,,,,,,,,,
"Bărbosul simţea o silă cumplită pentru tot ce se petrecea cu el, pentru tot ce i se întâmplase: traiul din grotă, tovărăşia vânătorului, spaima de lumină, primejdii din fiecare punct cardinal, speranţe zdrelite şi chinuite, şi acum hăituirea prin beznă. Oare cine erau cei urmăriţi?… Dimineaţă, ieşise afară în lume şi se uitase în oglinda unui izvor, şi văzuse cu groază cum îl pândeşte cineva, în spate, gata să se năpustească asupra lui. Era un om-fiară în spatele lui, cu ochi ieşiţi din orbite, cu faţă de ceară, cu părul zburlit şi înnodat, şi cu o barbă de catran. Se întorsese ca să se apere, dar nu zări pe nimeni în pustiul de piatră din jurul lui. Şi abia atunci înţelesese că omul care-l pândea era chiar el, era chipul lui, chip necunoscut. Izbise cu pumnul în apa izvorului pentru a sfărâma oglinda, dar chipul rămânea; nu putea să nu-şi poarte propriul chip necunoscut… Oare cine erau cei urmăriţi? Cine pe cine hăituia! Dar îl apucau şi clipe de negură şi atunci pasul lui se grăbea, lovea stânca şi apa şi bezna şi fâşia bolnavă de lumină şi aerul şi mergea înainte cu capul aplecat, cu gâtul apăsat de dureri, tras de nişte coarde nemiloase de oţel spre undeva unde trebuia să strângă şi să distrugă.",,,,,,,,,,,,,,
"— Mai repede, horcăia el. Mai repede! Undeva tot trebuie să ajungem.",,,,,,,,,,,,,,
"Undeva… Pentru prima dată, în bezna aceea groasă şi bolnavă, cuvântul îi spunea şi altceva, scăpa de teroarea unei singure direcţii, cuvântul se bifurca.",,,,,,,,,,,,,,
"Aproape tot timpul în spatele bărbosului, aproape tot timpul gemând de ură şi bolborosind înjurături, vânătorul mergea ca un halucinat, fără să simtă apă, beznă, durere, lumină. Puterile îl părăsiseră de multă vreme, de când privise cu atâta siguranţă moartea la gura tunelului. Îl duceau înainte, şi-l ţineau în picioare instinctele. Ar fi putut merge aşa, fără lumină, fără mâncare, fără vorbele altora, fără răsuflarea altuia, până la capătul pământului. Viaţa lui se afla în stăpânirea inconştientă a unor fiinţe plăpânde închise şi ele în beznă şi groază. Fiinţele acelea erau undeva înaintea lui şi trebuia să le ajungă pentru a-şi lua înapoi dreptul de a trăi. Şi ura lui prefăcută faţă de acele fiinţe devenise ură adevărată şi creştea în el, creştea cu fiecare clipă, o simţea în oase. Mâinile lui strângeau uneori bezna ca nişte gheare care strâng gâtul cuiva. Mergea fără să simtă, uneori se lovea de pereţii tunelului, sau de bolta joasă, sau se prăvălea în apă, dar mereu se încorda în linie dreaptă, în verticală, şi-şi purta mai departe paşii, şi-şi antrena mereu mâinile strangulând întunericul.",,,,,,,,,,,,,,
"— Îi omor pe toţi, îşi auzea vocea, o voce care nu mai avea în ea acele zgomote ridicole de tinichea. Îi omor pe toţi, dom'le. Altminteri va trebui să-mi zic adio, pe cinstea mea.",,,,,,,,,,,,,,
"— Termină cu aiurelile! Îi răspundea celălalt. Trebuie să le smulgem prada. Eu asta vreau! Înainte de orice! Chiar înaintea fetelor, auzi? Întâi cutia, auzi?",,,,,,,,,,,,,,
"— Şi dacă şi-au dat seama, dom'le? Şi dacă au umblat la ea, dom'le… Pe cinstea mea.",,,,,,,,,,,,,,
— Asta n-o ştim. Mai întâi să vedem…,,,,,,,,,,,,,,
"— Dom'le, şi dacă…?",,,,,,,,,,,,,,
"— Termină odată, că mă înnebuneşti! Tot n-ai înţeles? Mai întâi trebuie să-i ajungem din urmă!",,,,,,,,,,,,,,
"— Dom'le, pe cinstea mea! Oare-i ajungem? Ştii cu ce ne întrec pe noi? Ştii cum se îndepărtează de noi? Cu barca mea, dom'le! Unde-a ajuns viaţa mea?… Auzi, dom'le! Cu barca mea!",,,,,,,,,,,,,,
— Grijania şi candela şi toţi sfinţii. Nu puteai să le dai barca!,,,,,,,,,,,,,,
"— Dom'le! Ţi-am spus să nu insulţi!… Dom'le, oare-i ajungem? Pe cinstea mea…",,,,,,,,,,,,,,
— Doar n-or să meargă tot timpul fără să se odihnească. Asta e toată şansa noastră: să-i prindă oboseala şi să poposească undeva. Numai aşa îi putem ajunge…,,,,,,,,,,,,,,
"Vânătorul înţelese că nu avea dreptul la nici o clipă de odihnă. Dar nici n-avea nevoie de odihnă. Ar fi mers până la capătul pământului, prin beznă şi gheaţă. Îşi lipi mâna dreaptă de şold şi se lăsă tras înainte de forţe neomeneşti.",,,,,,,,,,,,,,
"Cireşarii hărăziţi primilor fiori, primelor întâlniri, dar osândiţi apoi beznei neîndurătoare, se înveliseră în pături şi în saci de dormit, aşteptând, cu gene de plumb şi cu plumb în oase, somnul tămăduitor. Dar somnul întârzia. Întâi îl doriseră toţi, până când începuseră să-i usture pleoapele, apoi se luptaseră împotriva lui, fără să-şi dea seama. Fiecare se retrăsese în lumea lui, pregătindu-şi visele, vise cu mult soare, cu lumină care să cadă peste ei în stropi, ca o ploaie.",,,,,,,,,,,,,,
"Victor îşi camuflase lanterna sub pătură. Numai o şuviţă răzbătea pe caietul lui de însemnări. Şi mâna lui obosită tălmăcea în cuvinte de toate zilele gânduri grele, gânduri încâlcite, gânduri adânci.",,,,,,,,,,,,,,
"„Nu pot să fiu sincer cu voi, scria Victor, aş vrea, dar nu pot. Sunt sigur că spaima mă roade mai tare decât pe voi, dar nu trebuie să se vadă nimic. Dacă v-aş spune ce gânduri îmi trec prin minte!… Dar voi nu trebuie să simţiţi… Vă jur că nu mă gândesc la mine… Ştiu că ne ameninţă primejdii, brrrrr! Cum face Ticuşor, dar deasupra tuturor e ceva foarte frumos, ca o lumină… Am obosit… O lumină… Toată călătoria noastră e o lumină… Oricine ar fi făcut ca noi… E ca o lumină pentru că aici, la noi, nimic nu poate fi mai frumos ca lumina… Aici în bezna noastră… Toată călătoria noastră e o lumină… Uffff…”",,,,,,,,,,,,,,
Victor închise carnetul şi stinse lanterna. Somnul voia cu orice preţ să-l biruie.,,,,,,,,,,,,,,
"Cel mai aprig duşman al somnului era Tic. Se opunea somnului cu tot ce-i venea în minte: cu pişcături, cu degete ude şi reci plimbate pe pleoape, dar mai ales pipăindu-şi cu mâinile cutia lui de vrajă şi căutând cu disperare, în mintea-i febrilă, cuvântul magic. Rostise de câteva ori cuvântul: clopoţei, apoi îşi luminase cu lanterna mâna sau piciorul, sau chiar faţa. Dar de fiecare dată îşi văzuse părţile luminate ale trupului, şi de fiecare dată ceilalţi se uitaseră urât la el, poruncindu-i să stingă lumina. Deci îl vedeau şi ei. Dacă nu l-ar fi văzut, s-ar fi mirat, ar fi spus altceva… Şi deodată, Tic făcu descoperirea cea crudă: nu aflase cuvântul vrăjit, cuvântul adevărat! Trebuia să fie altul, nu cel pe care-l visase el. De aceea atinse încet cu mâna, ca o mângâiere, părul Mariei şi o întrebă în şoapte abia auzite:",,,,,,,,,,,,,,
— Dormi?,,,,,,,,,,,,,,
"— Nu, Ticuşorule. Dar tu de ce nu dormi?",,,,,,,,,,,,,,
"— Aşa… Ca tine… Maria, tu ştii cuvinte-vrăjite?",,,,,,,,,,,,,,
"Maria ar fi vrut să-i pună mâna pe ochi şi să-i spună câteva vorbe mai rele, dar simţindu-l aievea, lângă ea, auzindu-i răsuflarea şi bătăile inimii, în noaptea aceea de beznă şi spaime, deveni subit cea mai gingaşă şi mai bună soră din câte cunoscuse şi din câte putea să-şi închipuie prichindelul cârn şi cu păr de lumină.",,,,,,,,,,,,,,
"— Ce fel de cuvinte, Ticuşorule?",,,,,,,,,,,,,,
"— Cuvinte din basme… Ştii tu!… Cuvinte cu care se fac vrăji, cuvinte cu care se deschid… Ştii tu…",,,,,,,,,,,,,,
"— Aaaaaa! Se dumeri Maria. Se poate, Ticuşor? Îmi închipui ce-i cu tine. Te crezi în peştera lui Aii Baba şi ai uitat formula magică! Se poate, Ticuşor?",,,,,,,,,,,,,,
"— Am uitat-o… se tângui prichindelul, deşi nu avea ce să uite pentru că nu citise basmul. Spune-o!",,,,,,,,,,,,,,
"— Sesam, deschide-te! Asta-i formula!",,,,,,,,,,,,,,
"Tic şopti în gând cele două cuvinte şi apoi începu să se pipăie. De vreme ce se simţea nu erau bune cuvintele. Dar îşi adusese aminte că moş Timofte nu-i spusese nimic despre harul cutiei de a pulveriza fiinţele. Cutia avea o singură vrajă. De aceea aprinse lanterna, scoase limba şi-şi lumină faţa.",,,,,,,,,,,,,,
"Maria se uită la el gata să-l muştruluiască, dar iarăşi îşi aminti unde se află, şi vocea îi răsună blândă, duioasă:",,,,,,,,,,,,,,
— Tic! Nu-i frumos să scoţi limba… Mai bine te-ai culca. Şi eu…,,,,,,,,,,,,,,
"— Te rog, Maria… Spune-mi alt cuvânt vrăjit…",,,,,,,,,,,,,,
"— Zău, Tic, ar trebui să te culci…",,,,,,,,,,,,,,
"— Te rog mult, mult de tot, spune-mi…",,,,,,,,,,,,,,
— Abracadabra…,,,,,,,,,,,,,,
— Cum? Întrebă înfiorat posesorul cutiei magice.,,,,,,,,,,,,,,
— A-bra-ca-da-bra! Îi silabisi Maria pe şoptite.,,,,,,,,,,,,,,
"— Abracadabra! Reţinu de astă dată, foarte precis, prichindelul. Şopti apoi cuvântul pe înfundate, aprinse lanterna şi din nou scoase limba.",,,,,,,,,,,,,,
— Tic!… Mă supăr… Vrei să-i trezeşti pe ceilalţi? Zău că aţipisem. Doamne…,,,,,,,,,,,,,,
"Ştiind că este absolut nevinovat, prichindelul mai încercă o dată:",,,,,,,,,,,,,,
— Maria… Te rog… Dar se răzgândi înduioşat de oboseala ei.,,,,,,,,,,,,,,
"— Ce vrei, Ticuşorule? Întrebă ea din somn.",,,,,,,,,,,,,,
"— Noapte bună, Maria… Şopti prichindelul.",,,,,,,,,,,,,,
"Maria nu mai izbuti să-i răspundă, pentru că somnul o cuprinse într-o clipă în sacul moale şi odihnitor. Tic mai rămase o bucată de vreme cu gândurile treze şi cu ochii deschişi în bezna care n-avea nevoie de licărirea lui. Mai întâi i se închiseră ochii, apoi i se încâlciră gândurile.",,,,,,,,,,,,,,
"— Abracada… Mai şopti el şi capul îi alunecă blând pe mână, fără să-l poată reţine, şi mai ales fără să ştie.",,,,,,,,,,,,,,
"Primul vis îl duse într-o lume fantastică, subpământeană. Parcă era călăuzit de mâna unui uriaş nevăzut, care îl apăra de orice şi de oricine. Şi pe unde nu-l ducea! Câte minunăţii! Castele şi coloane, şi arcade şi cupole, şi statui, şi oglinzi de apă albastră şi şiraguri de mărgele, mari, la gâtul unor fiinţe gigantice, care nu-i făceau nici un rău… Şi o catedrală! Doamne! Ce minune!… Cum străluceau tuburile orgii! Şi câte, câte, câte minunăţii! Numai în vis se pot vedea!",,,,,,,,,,,,,,
"Dacă bezna şi-ar fi deschis numai o clipă ochii, şi-ar fi întipărit pentru vecie, alăturându-l celor mai de preţ podoabe, zâmbetul unui prichindel blond şi ciufulit, care ajunsese după milioane de ani în ascunsa ei împărăţie.",,,,,,,,,,,,,,
"Timpul nu se mai supunea convenţiilor şi nu mai avea valoare în noaptea nesfârşită pe care o străbăteau cei doi urmăritori. Parcă trecuseră zile, luni, poate că trecuseră chiar vieţi de când părăsiseră lumina zilei. Cândva înconjuraseră, căţărându-se pe ţărmuri şi stânci prăpăstioase, un lac mare, apoi pătrunseseră într-un tunel plin de cotloane şi firide, care şerpuia fără încetare. Lampa bărbosului lumina drumul, oprindu-şi raza în stâncile fiecărui cot. Mergeau fără să scoată un cuvânt, fără să mai atingă apa, fără sa facă vreun zgomot. Presimţeau că se apropie locul de popas al celor după care porniseră. De câteva ori oboseala le întinsese lanţuri la picioare, dar izbutiseră să scape de ele, chemaţi de forţe mai tari.",,,,,,,,,,,,,,
"Lumina lanternei se izbi pe neaşteptate de o barcă lungă de cauciuc şi atinse mâna unui copil, care-şi alunecase degetele în apă. Vânătorul era cât pe-aci să se repeadă înainte, prin apă, dar bărbosul îl opri, strângându-i braţul, într-un cleşte de fier. Apoi, fără o vorbă, îl trase spre el şi îşi reluară amândoi mersul, dar nu înainte ca până atunci, ci înapoi spre lac.",,,,,,,,,,,,,,
"Vânătorul se supuse, dar când îşi închipui că se depărtase prea mult de locul unde zărise barca, se smulse din strânsoarea celuilalt, şoptind cu voce furioasă:",,,,,,,,,,,,,,
— Dom'le! Eşti nebun? Vrei să-i lăsăm să ne scape? Pe cinstea mea! Trebuie să punem mâna!,,,,,,,,,,,,,,
— Stai! Nu te repezi ca un bolovan! Mai apelează şi la chestia aia de pe umeri. Ce-ai vrea să faci?,,,,,,,,,,,,,,
"— Ştiu eu, dom'le, ce vreau! Orice!",,,,,,,,,,,,,,
"— Uite ce-i, coane! Să ne înţelegem! Primul lucru e să le luăm prada! Al doilea e să le-o luăm fără să ne simtă. Şi pe urmă vin şi chestiile personale. Şi ale mele şi ale dumitale, fiecare vrem câte ceva.",,,,,,,,,,,,,,
"— Dom'le! În ce spui dumneata e ceva care nu-mi convine. Pe cinstea mea. Dacă le-o luăm fără să ne simtă, zici să ne dăm la o parte…",,,,,,,,,,,,,,
"— Cam aşa… Spuse bărbosul. Dacă nu simt şi dacă ne dăm seama că nu şi-au dat seama, atunci stăm de vorbă. Şi vedem ce facem şi cu chestiile personale. Poate că nu riscăm nimic…",,,,,,,,,,,,,,
"— Dom'le, cam pricep eu… Şi zic da!… Până când o să zic altfel, pe cinstea mea. Dar cum o luăm?",,,,,,,,,,,,,,
"— În aşa fel ca să nu simtă… Sau dacă ne simt, să nu ne recunoască. Cu dibăcie, coane!",,,,,,,,,,,,,,
"— Dom'le… Să nu se trezească vreunul. Dacă ne văd la ehip, gata! Pe cinstea mea: nu mai au scăpare!",,,,,,,,,,,,,,
"— Uite ce e, coane! Cea mai bună chestie ar fi să te prefaci în stafie şi să cauţi cu tăcerea unei stafii printre lucrurile lor…",,,,,,,,,,,,,,
Vânătorul tresări. Era singurul procedeu la care nu se gândise şi care i se părea cel mai nimerit:,,,,,,,,,,,,,,
"— Nici Dobrescu n-ar fi găsit ceva mai bun, dom'le, pe cinstea mea. Tot i-am speriat eu cu duhurile…",,,,,,,,,,,,,,
"— Numărul unu, coane! Chiar dacă te văd, sau înainte, sau după ce-ai luat cutia, nu mai contează! Niciodată nu vor şti cine le-a luat-o cu adevărat.",,,,,,,,,,,,,,
"— Este, dom'le, este! Pe cinstea mea! Ce e, e!",,,,,,,,,,,,,,
"Bărbosul scoase dintr-un rucsac o pânză lungă şi un cuţit. La lumina lanternei se vedea lama cuţitului spintecând mătasea albă şi fină a unei paraşute. După ce găuri pânza în două locuri, o aşeză pe capul vânătorului, potrivind cele două găuri în dreptul ochilor lui. Îi ceru să ţină lanterna aprinsă sub pânză, apoi se îndepărtă câţiva paşi pentru a-şi privi opera. În bătaia lanternei se vedea o arătare albă, nedefinită, înfricoşătoare.",,,,,,,,,,,,,,
"— Ca-n filme! Spuse bărbosul. Şi mie mi s-ar face frică, dacă m-aş întâlni cu aşa ceva, coane… Ai grijă să nu faci vreun zgomot. Apropie-te de barcă şi caută înăuntru. Dacă nu, pe mal, în bagaje. Şi lanterna, coane! Doar o dâră de lumină…",,,,,,,,,,,,,,
"Fără să mai răspundă, vânătorul porni spre locul unde zărise hârca, fără zgomot, ca o stafie. Auzi şi ultimele şoapte:",,,,,,,,,,,,,,
— Să nu faci vreo prostie că ne-am dus amândoi…,,,,,,,,,,,,,,
"Tic trăia în somn alt vis. Se cufundase într-un lac de munte, un lac nesfârşit, plin cu păstrăvi argintii. Înota pe sub apă după ei, dar păstrăvii se strecurau, uneori îi scăpau chiar din vârful degetelor, şi ţuşti! Printre pietre, printre tufe şi bolovani. Fiuu-uu! Îşi aminti pescarul îndrăcit. Cum de nu se gândise să prindă păstrăvi cu cutia fermecată! Se va apropia de ei şi-i va prinde cu mâna, cu trei degete, aşa cum prinzi o floare. Sări iute pe mal să ia cutia. Dar n-o găsi! Dispăruse! Se uită în alte locuri şi o zări sub trupul unui rac mare şi hidos. Cum să-l gonească de pe cutie? Şi începu să-l bombardeze cu bolovani. Şi racul, apărân-du-se cu mănuşi de box şi cu o pavăză medievală, fugi spre un cotlon care se deschise imediat şi-l ascunse înăuntru. Tic luă repede cutia, o ascunse la sân şi alergă într-un suflet spre lac. Era lumină, lumină albă, frumoasă, dar soarele încă nu răsărise!",,,,,,,,,,,,,,
"Oare cum? Numai când se cufundă în apă, zări departe, în spate, dar oare cum putea să vadă în spate? Prima rază strălucitoare a soarelui. Răceala apei îl cutremură…",,,,,,,,,,,,,,
"Tic deschise ochii şi nu întâlni nimic, nu zări nimic, parcă era orb. Nici un firicel de lumină. Beznă, numai beznă! Visase… Poate că undeva, afară în lume, zorii începeau să aprindă cerul şi să trezească toată suflarea pământului la viaţă. Dar el nu ştia nimic. De unde să ştie? Cine să-i spună? Pentru el era încă miezul nopţii! Şi îi încolţi în minte o idee straşnică.",,,,,,,,,,,,,,
